month_str,monthly_income,monthly_savings,total_expenses,investments
2022-01,63913.0,3596.4912280701756,60198.26315789474,7864.824561403509
2022-02,59688.49180327869,3316.934426229508,57711.229508196724,8317.655737704918
2022-03,59230.71929824561,4405.894736842105,55658.10526315789,7488.456140350877
2022-04,56259.7,1853.5166666666667,57096.8,6908.333333333333
2022-05,56667.31578947369,2472.0175438596493,57939.40350877193,7323.578947368421
2022-06,59244.86666666667,5336.888888888889,53597.311111111114,6384.977777777778
2022-07,59166.32727272727,3681.4,55991.72727272727,7822.345454545454
2022-08,63585.0625,4490.96875,60313.890625,7446.578125
2022-09,61072.17021276596,5447.63829787234,55347.234042553195,7659.574468085107
2022-10,64106.26,4549.86,58296.26,7415.6
2022-11,62925.5,2337.051724137931,62289.15517241379,8471.241379310344
2022-12,57490.20338983051,4137.559322033899,55462.0,6845.457627118644
2023-01,59573.71428571428,2720.122448979592,55958.4693877551,7436.102040816327
2023-02,56260.019230769234,2100.576923076923,54474.980769230766,7068.788461538462
2023-03,62551.52272727273,5356.181818181818,56153.181818181816,8538.09090909091
2023-04,61482.509090909094,4539.872727272727,57346.836363636365,8039.690909090909
2023-05,62639.58823529412,4769.029411764706,57411.867647058825,7345.661764705882
2023-06,58529.666666666664,2020.9298245614036,56714.38596491228,7389.473684210527
2023-07,59776.73469387755,4710.7959183673465,57626.489795918365,6858.102040816327
2023-08,60070.892857142855,2874.125,56739.80357142857,8595.67857142857
2023-09,57731.19672131148,3915.1475409836066,56903.70491803279,7220.754098360656
2023-10,58658.723076923074,2502.8,59035.61538461538,7141.584615384615
2023-11,58536.53448275862,3189.5689655172414,56767.89655172414,7610.5
2023-12,56322.98412698413,2996.7936507936506,56430.57142857143,7210.587301587301
2024-01,60893.93939393939,2140.0,61087.121212121216,8346.272727272728
2024-02,63345.87755102041,3790.061224489796,57819.63265306123,7311.693877551021
2024-03,58871.46153846154,2599.653846153846,59184.192307692305,7138.7692307692305
2024-04,62017.0,4059.046875,58530.703125,7440.171875
2024-05,61698.78461538462,3399.0307692307692,57131.81538461539,7577.723076923077
2024-06,56883.29090909091,3927.690909090909,55136.32727272727,7477.836363636364
2024-07,57926.557692307695,2903.6923076923076,56216.88461538462,7173.403846153846
2024-08,63803.45161290323,4223.612903225807,58093.8064516129,8468.693548387097
2024-09,58528.431818181816,3853.3636363636365,57848.09090909091,6629.386363636364
2024-10,59547.3064516129,4567.241935483871,55883.37096774193,6888.419354838709
2024-11,59530.851851851854,4710.148148148148,54556.2037037037,6860.759259259259
2024-12,58607.16393442623,2500.0819672131147,59395.04918032787,7037.88524590164
